File	Diameter	Max_DsT_|S|	Max_DsT_time	Diameter	Schäfer_|S|	Schäfer_time
./Input/Test/Test/random_300_000.gml	10	105	9.497873783111570	10	105	1022.6843740940100
./Input/Test/Test/random_300_000.gml	100	5846	17.304615020752000	100	5846	1439.4200592041000
./Input/Test/Test/random_300_000.gml	500	73538	74.76897811889650	500	73538	5989.8246257305100
./Input/Test/Test/random_500_000.gml	10	114	15.605947017669700	10	114	2945.438118934630
./Input/Test/Test/random_500_000.gml	100	5968	44.11174201965330	100	5968	3654.6010179519700
./Input/Test/Test/random_500_000.gml	500	—	2661.96667194366	500	—	—
./Input/Test/Test/random_750_000.gml	10	117	22.7611300945282	10	117	6436.439889907840
./Input/Test/Test/random_750_000.gml	100	6891	94.73915410041810	100	6891	7807.368478775020
./Input/Test/Test/random_750_000.gml	500	85525	5657.698177814480	500	—	—
./Input/Test/Test/random_1_000_000.gml	10	113	31.8786141872406	10	113	11529.725036144300
./Input/Test/Test/random_1_000_000.gml	100	7217	198.9311528205870	100	7217	14167.638015031800
./Input/Test/Test/random_1_000_000.gml	500	—	11422.2738919258	500	—	—
./Input/Test/Test/random_300_000.gml	1000	150263	1735.5163609981500	1000	—	—
